
 Lista de Imóveis da Caixa;;Data de geração:;28/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555535869137 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 308, N. SN, Apto 1206, LT 01 CONJ 08 ;235.000,00;235.000,00;0.00;Apartamento, 0.00 de área total, 47.32 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535869137
 1444413014358 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 404, N. SN, LT 26 ;620.000,00;620.000,00;0.00;Casa, 0.00 de área total, 0.01 de área privativa, 131.25 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413014358
 1444414960311 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 429, N. SN, LT 07 CONJ 21 ;365.000,00;365.000,00;0.00;Casa, 0.00 de área total, 168.00 de área privativa, 112.50 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414960311
 1555534402377 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QUADRA QS, N. 408, Apto 1105, LOTE 2, CONJUNTO D ;257.000,00;257.000,00;0.00;Apartamento, 0.00 de área total, 48.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534402377
 8444420367650 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 427, N. SN, LT 10 CONJ 04 ;233.964,87;220.000,00;0.00;Casa, 0.00 de área total, 86.26 de área privativa, 105.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420367650
 8444408553732 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 406, N. SN, Apto 112, LT 03 CONJ F ;195.298,99;158.800,46;0.00;Apartamento, 0.00 de área total, 47.34 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408553732
 1444407401639 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;QUADRA CNB 6, N. SN, Apto 101, LT 14 ;293.240,31;565.000,00;48.10;Apartamento, 0.00 de área total, 100.19 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407401639
 1555515519841 ;DF ;TAGUATINGA ;AREAL (AGUAS CLARAS) ;QUADRA QS 5, N. SN, Apto 101, LT 22, RUA 300, BL 03, VG 43 ;337.023,67;359.000,00;6.13;Apartamento, 0.00 de área total, 60.83 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555515519841
 1555523029807 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QI 24, N. SN, Apto 1910, LT 1 A 13 TORRE A ;459.000,00;459.000,00;0.00;Apartamento, 0.00 de área total, 104.62 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555523029807
 1444403375633 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;QNL 7, N. SN, Apto 312, BL B PROJEÇÃO 02 ;270.000,00;270.000,00;0.00;Apartamento, 0.00 de área total, 56.71 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403375633
